municipality_id,rainfall,lat,lon
16002,0.07,86.30664484103298,26.642294877158676
16003,0.05,86.36713034983934,26.63030204583905
16004,0.05,86.47197016050602,26.586162347059087
16005,0.16,86.25132130644386,26.728932322661773
16006,0.7899999999999999,86.41376141139511,26.81075772986359
16007,0.75,86.34392107698889,26.81479135750242
16008,0.16,86.19971108569278,26.760558678670268
16009,0.15,86.17953809307132,26.86824787471248
16010,0.52,86.48123651423386,26.75679722663976
16011,0.09,86.41245882194345,26.668879338032934
16012,0.26,86.25760632478989,26.83535710191322
16013,0.2,86.27986644134975,26.775201442568974
16014,0.05,86.43276743123036,26.607957499203664
16015,0.06,86.46929647525013,26.636869054210187
16016,0.11,86.21959667514685,26.647487368975234
16017,0.38,86.35030489469912,26.69669913298319
17001,0.09,86.01575601372463,26.711855702909528
17002,0.15,85.92281460830071,26.885119497717103
17003,0.09,86.06042658437299,26.679004986632663
17004,0.09,85.97343075681044,26.846585405773872
17005,0.09,85.98328328315552,26.67733475411099
17006,0.15,86.04313973484564,26.874244259243337
17007,0.16,86.12337840784728,26.939342415709653
17008,0.09,86.02759944254016,26.758063091709992
17009,0.11,86.13380377270039,26.644675023842527
17010,0.07,85.93438007495283,26.72577191106907
17011,0.13,86.15597411839947,26.69960470392808
17012,0.09,85.93424819150961,26.79822277722305
17013,0.32000000000000006,85.96482487690274,26.979101733022414
17014,0.09,86.00114245211903,26.79751809465713
17015,0.09,85.87857619307249,26.604292543687585
17016,0.09,85.92462227789358,26.64442996443964
17017,0.12,86.10230266035904,26.798797464543384
17018,0.13,86.1068443,26.73506703168598
18001,0.03,85.80074655729628,26.865965578887177
18002,0.019999999999999997,85.81948043482576,26.76853670434025
18003,0.16,85.85533998497685,27.03606546939721
18004,0.03,85.87213492514931,26.849425758390208
18005,0.08,85.76501916460359,26.687461925372634
18006,0.14,85.78159413854392,26.949541288887797
18007,0.09,85.79961706,26.64671405915029
18008,0.03,85.86511962170182,26.769593057248123
18009,0.06,85.81176786667632,26.703493912514958
18010,0.03,85.75339830027144,26.72478619479792
18011,0.09,85.85988135310524,26.642821817505997
18012,0.07,85.86846316064124,26.69445765852745
18013,0.019999999999999997,85.78361895160425,26.81006541109705
18014,0.019999999999999997,85.74788712,26.805803179117216
18015,0.11,85.72299369564934,26.867002020870743
19001,0.06,85.47724166862234,27.07773543317099
19002,0.12,85.36873436316891,26.795307954581222
19003,0.0,85.45380923642666,26.981788770396143
19004,0.0,85.43936435618616,26.92605438883508
19005,0.13,85.47268040486802,26.815437208507163
